session_id,user_id,page,sponsored_listing_viewed,banner_viewed,homepage_promo_seen,product_search_view,sponsored_listing_viewed_cost,banner_viewed_cost,homepage_promo_seen_cost,product_search_view_cost,session_total_cost
S1103,U1026,product,0,0,1,1,0.0,0.0,0.34,0.31,0.65
S1104,U1026,product,0,0,0,1,0.0,0.0,0.0,0.46,0.46
S1105,U1027,search,0,1,0,0,0.0,0.63,0.0,0.0,0.63
S1106,U1027,category,0,0,1,1,0.0,0.0,1.25,0.46,1.71
S1107,U1027,home,0,0,1,0,0.0,0.0,1.33,0.0,1.33
S1108,U1028,product,0,1,0,1,0.0,0.42,0.0,0.19,0.61
S1109,U1028,search,0,1,0,1,0.0,0.88,0.0,0.44,1.32
S1110,U1028,search,1,0,1,0,0.58,0.0,1.22,0.0,1.8
S1111,U1029,home,1,0,1,1,1.14,0.0,0.7,0.05,1.89
S1112,U1029,search,0,1,1,0,0.0,0.67,1.28,0.0,1.95
S1113,U1030,category,0,1,0,1,0.0,0.41,0.0,0.38,0.79
S1114,U1030,offers,0,0,0,1,0.0,0.0,0.0,0.16,0.16
S1115,U1030,search,1,0,1,0,0.98,0.0,0.6,0.0,1.58
S1116,U1031,home,1,1,0,1,0.51,0.58,0.0,0.42,1.51
S1117,U1031,product,0,0,0,1,0.0,0.0,0.0,0.25,0.25
S1118,U1032,home,1,1,1,0,1.96,0.32,1.7,0.0,3.98
S1119,U1032,product,0,0,0,1,0.0,0.0,0.0,0.49,0.49
S1120,U1033,home,0,1,0,0,0.0,0.46,0.0,0.0,0.46
S1121,U1033,offers,0,1,1,1,0.0,0.38,1.53,0.15,2.06
S1122,U1033,category,1,0,0,0,1.42,0.0,0.0,0.0,1.42
S1123,U1033,search,0,0,1,0,0.0,0.0,0.8,0.0,0.8
S1124,U1033,category,0,0,0,1,0.0,0.0,0.0,0.33,0.33
S1125,U1034,home,0,1,0,1,0.0,0.53,0.0,0.11,0.64
S1126,U1034,category,1,1,0,1,2.46,0.83,0.0,0.24,3.53
S1127,U1034,home,1,0,0,0,2.19,0.0,0.0,0.0,2.19
S1128,U1034,search,1,0,1,0,1.92,0.0,1.67,0.0,3.59
S1129,U1035,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1130,U1035,category,0,1,1,0,0.0,0.46,0.78,0.0,1.24
S1131,U1035,search,0,0,0,1,0.0,0.0,0.0,0.08,0.08
S1132,U1036,product,0,1,0,0,0.0,0.54,0.0,0.0,0.54
S1133,U1036,offers,0,0,1,0,0.0,0.0,0.43,0.0,0.43
S1134,U1036,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1135,U1036,search,0,1,1,0,0.0,0.84,1.97,0.0,2.81
S1136,U1037,home,0,0,1,1,0.0,0.0,1.04,0.12,1.16
S1137,U1037,home,1,0,1,0,2.68,0.0,0.22,0.0,2.9
S1138,U1038,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1139,U1038,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1140,U1038,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1141,U1038,product,0,1,1,0,0.0,0.99,0.42,0.0,1.41
S1142,U1038,home,1,1,0,1,1.94,0.24,0.0,0.11,2.29
S1143,U1039,home,0,0,1,1,0.0,0.0,0.88,0.13,1.01
S1144,U1039,product,0,1,0,1,0.0,0.59,0.0,0.33,0.92
S1145,U1039,home,0,0,0,1,0.0,0.0,0.0,0.29,0.29
S1146,U1039,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1147,U1039,home,1,1,0,0,2.77,0.94,0.0,0.0,3.71
S1148,U1040,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1149,U1040,category,0,1,1,0,0.0,0.36,0.82,0.0,1.18
S1150,U1040,product,0,0,1,0,0.0,0.0,1.2,0.0,1.2
S1151,U1041,category,0,0,1,1,0.0,0.0,0.9,0.25,1.15
S1152,U1041,product,0,1,0,0,0.0,0.21,0.0,0.0,0.21
S1153,U1041,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1154,U1041,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1155,U1041,home,0,1,0,0,0.0,0.18,0.0,0.0,0.18
S1156,U1042,home,0,0,1,0,0.0,0.0,0.27,0.0,0.27
S1157,U1042,home,0,1,1,1,0.0,0.19,1.68,0.06,1.93
S1158,U1042,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1159,U1042,search,0,1,0,0,0.0,0.55,0.0,0.0,0.55
S1160,U1042,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1161,U1043,search,0,1,0,1,0.0,0.35,0.0,0.07,0.42
S1162,U1043,search,0,0,1,0,0.0,0.0,1.28,0.0,1.28
S1163,U1043,product,1,0,0,0,1.83,0.0,0.0,0.0,1.83
S1164,U1044,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1165,U1044,search,1,0,0,0,0.68,0.0,0.0,0.0,0.68
S1166,U1045,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1167,U1045,offers,1,0,0,0,1.45,0.0,0.0,0.0,1.45
S1168,U1045,search,0,0,0,1,0.0,0.0,0.0,0.34,0.34
S1169,U1045,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1170,U1045,home,0,0,1,1,0.0,0.0,0.69,0.12,0.81
S1171,U1046,category,0,1,1,0,0.0,0.67,1.78,0.0,2.45
S1172,U1046,home,0,1,1,1,0.0,0.46,0.62,0.33,1.41
S1173,U1046,search,0,1,0,0,0.0,0.28,0.0,0.0,0.28
S1174,U1046,offers,0,0,1,1,0.0,0.0,1.44,0.34,1.78
S1175,U1046,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1176,U1047,product,0,1,0,0,0.0,0.32,0.0,0.0,0.32
S1177,U1047,search,1,1,0,0,2.51,0.12,0.0,0.0,2.63
S1178,U1047,category,1,0,1,0,2.5,0.0,1.02,0.0,3.52
S1179,U1047,category,0,1,1,1,0.0,0.66,0.55,0.4,1.61
S1180,U1047,category,0,0,1,1,0.0,0.0,1.18,0.35,1.53
S1181,U1048,offers,1,0,0,0,1.73,0.0,0.0,0.0,1.73
S1182,U1048,search,1,0,1,1,0.9,0.0,1.37,0.3,2.57
S1183,U1048,offers,0,1,1,1,0.0,0.97,1.91,0.18,3.06
S1184,U1049,product,1,0,0,1,2.3,0.0,0.0,0.19,2.49
S1185,U1049,category,0,1,1,0,0.0,0.8,1.5,0.0,2.3
S1186,U1049,home,0,1,0,1,0.0,0.58,0.0,0.26,0.84
S1187,U1050,category,0,1,1,1,0.0,0.81,1.51,0.23,2.55
S1188,U1050,home,1,1,0,1,0.85,0.12,0.0,0.48,1.45
S1189,U1050,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1190,U1050,category,0,0,1,1,0.0,0.0,0.93,0.3,1.23
S1191,U1050,offers,1,0,0,0,2.6,0.0,0.0,0.0,2.6
S1192,U1051,home,0,1,1,1,0.0,0.64,1.53,0.3,2.47
S1193,U1051,search,0,1,0,1,0.0,0.97,0.0,0.36,1.33
S1194,U1052,product,0,0,0,1,0.0,0.0,0.0,0.34,0.34
S1195,U1052,product,0,1,1,1,0.0,0.99,0.52,0.09,1.6
S1196,U1052,category,1,0,0,0,1.36,0.0,0.0,0.0,1.36
S1197,U1052,home,0,1,1,1,0.0,0.97,1.0,0.06,2.03
S1198,U1052,offers,0,0,0,1,0.0,0.0,0.0,0.37,0.37
S1199,U1053,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1200,U1053,home,0,1,1,1,0.0,0.21,1.91,0.09,2.21
S1201,U1054,home,1,1,1,1,0.53,0.28,1.14,0.14,2.09
S1202,U1054,product,1,0,1,0,2.76,0.0,1.14,0.0,3.9
S1203,U1054,category,0,1,1,1,0.0,0.92,1.67,0.47,3.06
S1204,U1054,product,0,1,1,0,0.0,0.44,0.55,0.0,0.99
S1205,U1054,home,1,1,1,1,1.0,0.1,0.64,0.07,1.81
S1206,U1055,offers,0,1,0,0,0.0,0.24,0.0,0.0,0.24
S1207,U1055,offers,0,1,0,1,0.0,0.33,0.0,0.3,0.63
S1208,U1055,category,0,0,1,1,0.0,0.0,1.07,0.1,1.17
S1209,U1055,offers,0,0,1,1,0.0,0.0,0.84,0.37,1.21
S1210,U1056,offers,0,0,0,1,0.0,0.0,0.0,0.5,0.5
S1211,U1056,category,1,0,0,0,2.01,0.0,0.0,0.0,2.01
S1212,U1057,category,1,0,1,0,1.6,0.0,1.55,0.0,3.15
S1213,U1057,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1214,U1058,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1215,U1058,category,0,0,1,0,0.0,0.0,1.84,0.0,1.84
S1216,U1058,search,0,0,0,1,0.0,0.0,0.0,0.36,0.36
S1217,U1059,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1218,U1059,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1219,U1059,product,1,0,1,0,2.04,0.0,0.43,0.0,2.47
S1220,U1059,category,0,1,1,1,0.0,0.18,0.98,0.35,1.51
S1221,U1060,category,1,1,1,0,2.13,0.45,0.77,0.0,3.35
S1222,U1060,offers,1,0,0,0,2.51,0.0,0.0,0.0,2.51
S1223,U1060,search,0,1,0,1,0.0,0.32,0.0,0.42,0.74
S1224,U1060,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1225,U1061,home,0,0,0,1,0.0,0.0,0.0,0.26,0.26
S1226,U1061,offers,1,1,0,1,1.53,0.25,0.0,0.08,1.86
S1227,U1061,home,0,0,1,0,0.0,0.0,1.81,0.0,1.81
S1228,U1061,offers,0,0,1,0,0.0,0.0,1.31,0.0,1.31
S1229,U1062,home,0,1,0,1,0.0,0.72,0.0,0.32,1.04
S1230,U1062,home,0,1,1,1,0.0,0.5,1.29,0.2,1.99
S1231,U1062,home,0,1,0,1,0.0,0.57,0.0,0.24,0.81
S1232,U1062,home,0,0,1,1,0.0,0.0,1.72,0.38,2.1
S1233,U1063,category,0,0,1,0,0.0,0.0,1.53,0.0,1.53
S1234,U1063,home,1,1,0,0,1.83,0.93,0.0,0.0,2.76
S1235,U1063,category,0,0,0,1,0.0,0.0,0.0,0.19,0.19
S1236,U1063,offers,0,0,1,0,0.0,0.0,1.06,0.0,1.06
S1237,U1064,search,0,0,0,1,0.0,0.0,0.0,0.16,0.16
S1238,U1064,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1239,U1065,offers,0,0,1,1,0.0,0.0,0.7,0.13,0.83
S1240,U1065,product,1,1,1,0,0.99,0.8,0.75,0.0,2.54
S1241,U1065,category,0,0,1,0,0.0,0.0,1.66,0.0,1.66
S1242,U1065,home,0,0,0,1,0.0,0.0,0.0,0.08,0.08
S1243,U1065,offers,1,1,1,0,2.51,0.94,1.14,0.0,4.59
S1244,U1066,category,0,0,0,1,0.0,0.0,0.0,0.49,0.49
S1245,U1066,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1246,U1066,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1247,U1067,home,0,0,1,1,0.0,0.0,0.51,0.08,0.59
S1248,U1067,home,0,1,0,1,0.0,0.49,0.0,0.06,0.55
S1249,U1067,home,0,1,1,1,0.0,0.83,1.55,0.38,2.76
S1250,U1067,product,0,1,0,1,0.0,0.87,0.0,0.44,1.31
S1251,U1068,search,0,0,0,1,0.0,0.0,0.0,0.44,0.44
S1252,U1068,category,0,0,1,0,0.0,0.0,0.37,0.0,0.37
S1253,U1068,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1254,U1068,offers,0,1,0,1,0.0,0.3,0.0,0.25,0.55
S1255,U1068,search,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1256,U1069,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1257,U1069,offers,1,0,0,0,0.96,0.0,0.0,0.0,0.96
S1258,U1070,product,0,1,0,1,0.0,0.32,0.0,0.37,0.69
S1259,U1070,offers,0,1,0,0,0.0,0.78,0.0,0.0,0.78
S1260,U1071,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1261,U1071,offers,1,0,1,0,1.11,0.0,1.1,0.0,2.21
S1262,U1071,offers,1,0,1,0,1.28,0.0,1.18,0.0,2.46
S1263,U1072,product,1,0,0,0,1.47,0.0,0.0,0.0,1.47
S1264,U1072,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1265,U1072,product,0,0,0,1,0.0,0.0,0.0,0.11,0.11
S1266,U1072,category,1,0,1,0,2.97,0.0,0.39,0.0,3.36
S1267,U1073,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1268,U1073,product,0,0,0,1,0.0,0.0,0.0,0.35,0.35
S1269,U1074,offers,0,0,1,1,0.0,0.0,1.53,0.15,1.68
S1270,U1074,search,1,1,1,0,1.11,0.65,1.93,0.0,3.69
S1271,U1074,home,1,1,1,1,2.8,0.87,0.34,0.14,4.15
S1272,U1075,category,0,1,1,0,0.0,0.91,1.08,0.0,1.99
S1273,U1075,category,0,1,0,0,0.0,0.41,0.0,0.0,0.41
S1274,U1076,search,1,0,0,1,1.01,0.0,0.0,0.49,1.5
S1275,U1076,search,0,0,1,1,0.0,0.0,1.96,0.18,2.14
S1276,U1076,product,0,1,0,0,0.0,0.28,0.0,0.0,0.28
S1277,U1076,product,0,1,0,0,0.0,0.5,0.0,0.0,0.5
S1278,U1076,search,0,0,1,1,0.0,0.0,1.35,0.16,1.51
S1279,U1077,category,0,0,0,1,0.0,0.0,0.0,0.27,0.27
S1280,U1077,product,1,0,0,1,0.55,0.0,0.0,0.29,0.84
S1281,U1077,product,0,1,0,1,0.0,0.93,0.0,0.09,1.02
S1282,U1078,offers,1,1,0,1,2.6,0.3,0.0,0.46,3.36
S1283,U1078,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1284,U1078,search,0,1,0,1,0.0,0.72,0.0,0.35,1.07
S1285,U1079,home,0,0,0,1,0.0,0.0,0.0,0.23,0.23
S1286,U1079,home,0,0,1,1,0.0,0.0,0.69,0.33,1.02
S1287,U1079,product,1,0,0,0,0.57,0.0,0.0,0.0,0.57
S1288,U1080,search,0,0,1,0,0.0,0.0,0.88,0.0,0.88
S1289,U1080,search,0,0,1,0,0.0,0.0,1.24,0.0,1.24
S1290,U1080,search,0,1,0,0,0.0,0.87,0.0,0.0,0.87
S1291,U1081,category,1,0,0,0,1.9,0.0,0.0,0.0,1.9
S1292,U1081,home,0,1,1,0,0.0,0.15,0.69,0.0,0.84
S1293,U1081,offers,0,1,0,0,0.0,0.36,0.0,0.0,0.36
S1294,U1081,product,1,0,0,0,1.55,0.0,0.0,0.0,1.55
S1295,U1081,category,1,0,0,0,0.95,0.0,0.0,0.0,0.95
S1296,U1082,product,0,0,0,1,0.0,0.0,0.0,0.46,0.46
S1297,U1082,search,0,1,1,0,0.0,0.82,1.48,0.0,2.3
S1298,U1082,product,1,1,0,1,1.33,0.8,0.0,0.49,2.62
S1299,U1082,search,0,0,1,1,0.0,0.0,0.92,0.2,1.12
S1300,U1083,category,0,0,1,1,0.0,0.0,0.43,0.29,0.72
S1301,U1083,home,1,0,0,1,2.56,0.0,0.0,0.29,2.85
S1302,U1083,product,1,0,1,0,1.4,0.0,1.57,0.0,2.97
S1303,U1083,home,0,0,0,1,0.0,0.0,0.0,0.21,0.21
S1304,U1084,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1305,U1084,offers,1,0,1,0,2.58,0.0,1.65,0.0,4.23
S1306,U1085,product,0,1,0,1,0.0,0.43,0.0,0.13,0.56
S1307,U1085,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1308,U1086,home,0,1,1,0,0.0,0.86,0.44,0.0,1.3
S1309,U1086,home,1,1,0,1,0.88,0.91,0.0,0.29,2.08
S1310,U1086,home,0,1,1,1,0.0,0.49,0.52,0.22,1.23
S1311,U1086,search,0,1,0,0,0.0,0.66,0.0,0.0,0.66
S1312,U1087,search,0,1,1,1,0.0,0.4,1.15,0.45,2.0
S1313,U1087,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1314,U1087,product,1,1,1,0,1.83,0.91,1.23,0.0,3.97
S1315,U1087,offers,0,0,1,1,0.0,0.0,1.04,0.3,1.34
S1316,U1088,search,0,0,0,1,0.0,0.0,0.0,0.5,0.5
S1317,U1088,search,0,0,1,0,0.0,0.0,1.29,0.0,1.29
S1318,U1088,category,0,0,0,1,0.0,0.0,0.0,0.37,0.37
S1319,U1089,product,0,1,1,0,0.0,0.82,0.78,0.0,1.6
S1320,U1089,offers,1,0,0,0,2.08,0.0,0.0,0.0,2.08
S1321,U1089,home,0,1,0,1,0.0,0.63,0.0,0.35,0.98
S1322,U1089,offers,0,0,1,0,0.0,0.0,0.53,0.0,0.53
S1323,U1090,category,1,1,0,1,2.85,0.59,0.0,0.45,3.89
S1324,U1090,home,0,1,1,0,0.0,0.79,1.14,0.0,1.93
S1325,U1090,offers,1,0,1,0,1.36,0.0,0.72,0.0,2.08
S1326,U1090,offers,0,0,1,1,0.0,0.0,1.49,0.26,1.75
S1327,U1090,product,0,1,1,1,0.0,0.14,0.77,0.48,1.39
S1328,U1091,product,0,1,1,1,0.0,0.17,1.8,0.3,2.27
S1329,U1091,category,0,0,0,1,0.0,0.0,0.0,0.25,0.25
S1330,U1091,home,1,0,0,0,2.55,0.0,0.0,0.0,2.55
S1331,U1091,category,0,1,1,1,0.0,0.91,1.84,0.31,3.06
S1332,U1092,product,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1333,U1092,home,0,1,0,0,0.0,0.85,0.0,0.0,0.85
S1334,U1093,search,0,0,1,0,0.0,0.0,1.56,0.0,1.56
S1335,U1093,home,0,0,1,0,0.0,0.0,1.5,0.0,1.5
S1336,U1094,home,0,1,0,0,0.0,0.86,0.0,0.0,0.86
S1337,U1094,search,1,1,0,0,1.32,0.46,0.0,0.0,1.78
S1338,U1095,offers,0,1,1,1,0.0,0.55,1.8,0.47,2.82
S1339,U1095,search,0,1,0,0,0.0,0.53,0.0,0.0,0.53
S1340,U1095,home,0,0,1,1,0.0,0.0,0.28,0.29,0.57
S1341,U1095,category,1,0,1,1,2.66,0.0,0.97,0.26,3.89
S1342,U1096,offers,1,0,0,0,0.97,0.0,0.0,0.0,0.97
S1343,U1096,category,1,1,0,0,2.95,0.3,0.0,0.0,3.25
S1344,U1096,product,0,1,1,0,0.0,0.26,1.83,0.0,2.09
S1345,U1096,home,0,1,1,1,0.0,1.0,1.51,0.48,2.99
S1346,U1097,search,0,0,0,1,0.0,0.0,0.0,0.35,0.35
S1347,U1097,home,0,0,0,1,0.0,0.0,0.0,0.41,0.41
S1348,U1097,search,0,1,0,0,0.0,0.86,0.0,0.0,0.86
S1349,U1097,category,0,0,0,1,0.0,0.0,0.0,0.11,0.11
S1350,U1097,search,0,1,0,0,0.0,0.78,0.0,0.0,0.78
S1351,U1098,home,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1352,U1098,search,1,0,1,0,0.98,0.0,0.94,0.0,1.92
S1353,U1099,product,0,0,0,1,0.0,0.0,0.0,0.17,0.17
S1354,U1099,offers,0,0,0,0,0.0,0.0,0.0,0.0,0.0
S1355,U1099,home,0,0,0,1,0.0,0.0,0.0,0.2,0.2
S1356,U1100,category,0,0,1,1,0.0,0.0,1.26,0.27,1.53
S1357,U1100,product,1,1,0,0,0.73,0.58,0.0,0.0,1.31
S1358,U1101,search,0,1,1,1,0.0,0.78,1.07,0.18,2.03
S1359,U1101,product,1,0,0,1,1.21,0.0,0.0,0.36,1.57
S1360,U1101,category,0,0,0,0,0.0,0.0,0.0,0.0,0.0
