transaction_id,order_id,product_id,quantity,total_amount,discount_code_used,discount_value,shipping_cost,total_payable,return_stat,return_date
TX1011,ORD1011,P1474,1,51.43,No,0.0,6.08,57.51,Returned,2025-05-26 10:11:05
TX1011,ORD1011,P1199,1,44.67,No,0.0,22.77,67.44,Not Returned,
TX1011,ORD1011,P1218,3,78.03,Yes,18.09,13.1,73.04,Returned,2025-05-29 10:11:05
TX1012,ORD1012,P1996,3,565.41,Yes,71.63,10.36,504.14,Not Returned,
TX1013,ORD1013,P1625,2,158.62,Yes,31.08,15.9,143.44,Not Returned,
TX1013,ORD1013,P1850,3,149.49,Yes,22.3,23.75,150.94,Returned,2025-05-01 07:07:33
TX1014,ORD1014,P1563,1,67.71,No,0.0,7.79,75.5,Not Returned,
TX1014,ORD1014,P1972,2,206.98,Yes,32.89,1.89,175.98,Not Returned,
TX1014,ORD1014,P1289,1,49.85,No,0.0,10.2,60.05,Not Returned,
TX1015,ORD1015,P1943,2,95.38,Yes,20.62,5.73,80.49,Not Returned,
TX1015,ORD1015,P1069,1,65.93,Yes,10.22,3.5,59.21,Not Returned,
TX1016,ORD1016,P1385,3,39.06,Yes,8.06,0.43,31.43,Not Returned,
TX1017,ORD1017,P1607,2,365.38,No,0.0,22.72,388.1,Returned,2025-04-05 23:38:53
TX1017,ORD1017,P1928,3,27.48,No,0.0,10.87,38.35,Not Returned,
TX1017,ORD1017,P1620,2,72.32,Yes,14.65,8.52,66.19,Not Returned,
TX1018,ORD1018,P1345,3,403.26,No,0.0,22.2,425.46,Not Returned,
TX1019,ORD1019,P1605,2,144.6,Yes,35.4,11.87,121.07,Not Returned,
TX1020,ORD1020,P1818,3,150.24,Yes,37.72,23.37,135.89,Not Returned,
TX1020,ORD1020,P1097,3,307.35,Yes,68.35,2.21,241.21,Returned,2025-04-16 14:54:49
TX1020,ORD1020,P1447,2,869.62,Yes,246.83,24.94,647.73,Not Returned,
TX1021,ORD1021,P1358,3,162.93,No,0.0,5.44,168.37,Not Returned,
TX1021,ORD1021,P1369,2,99.16,Yes,27.87,8.09,79.38,Returned,2025-04-11 03:22:13
TX1022,ORD1022,P1010,1,218.12,No,0.0,15.41,233.53,Not Returned,
TX1022,ORD1022,P1042,2,45.9,No,0.0,13.71,59.61,Not Returned,
TX1022,ORD1022,P1142,1,115.49,No,0.0,7.45,122.94,Not Returned,
TX1023,ORD1023,P1641,3,1167.9,Yes,220.67,22.68,969.91,Not Returned,
TX1024,ORD1024,P1175,1,109.57,No,0.0,5.44,115.01,Not Returned,
TX1024,ORD1024,P1540,3,216.15,No,0.0,17.31,233.46,Not Returned,
TX1024,ORD1024,P1484,3,274.95,No,0.0,16.09,291.04,Not Returned,
TX1025,ORD1025,P1717,2,94.58,No,0.0,17.61,112.19,Not Returned,
TX1026,ORD1026,P1822,3,306.3,Yes,86.02,17.28,237.56,Not Returned,
TX1026,ORD1026,P1874,1,78.01,Yes,8.39,9.8,79.42,Not Returned,
TX1026,ORD1026,P1705,1,40.74,No,0.0,14.83,55.57,Not Returned,
TX1027,ORD1027,P1402,2,86.14,No,0.0,6.66,92.8,Returned,2025-04-16 22:33:57
TX1027,ORD1027,P1961,1,31.14,Yes,4.32,10.19,37.01,Not Returned,
TX1027,ORD1027,P1404,1,18.73,Yes,2.59,12.44,28.58,Not Returned,
TX1028,ORD1028,P1983,2,53.18,No,0.0,21.05,74.23,Returned,2025-03-14 06:57:41
TX1029,ORD1029,P1829,2,51.84,Yes,8.13,5.64,49.35,Not Returned,
TX1030,ORD1030,P1089,2,284.2,No,0.0,12.07,296.27,Not Returned,
TX1031,ORD1031,P1775,1,79.61,No,0.0,5.12,84.73,Not Returned,
TX1031,ORD1031,P1671,2,42.78,No,0.0,19.59,62.37,Not Returned,
TX1031,ORD1031,P1211,3,42.81,Yes,11.28,2.59,34.12,Not Returned,
TX1032,ORD1032,P1568,1,84.9,No,0.0,8.34,93.24,Not Returned,
TX1032,ORD1032,P1298,1,128.59,No,0.0,9.6,138.19,Not Returned,
TX1033,ORD1033,P1983,2,53.18,Yes,10.16,10.58,53.6,Returned,2025-04-18 16:07:32
TX1033,ORD1033,P1359,2,129.52,No,0.0,17.74,147.26,Not Returned,
TX1033,ORD1033,P1723,1,66.83,No,0.0,14.92,81.75,Not Returned,
TX1034,ORD1034,P1191,1,11.76,No,0.0,21.48,33.24,Not Returned,
TX1034,ORD1034,P1412,1,204.45,No,0.0,2.6,207.05,Not Returned,
TX1034,ORD1034,P1276,2,65.98,Yes,15.46,22.6,73.12,Not Returned,
TX1035,ORD1035,P1937,1,314.36,Yes,75.92,18.93,257.37,Not Returned,
TX1036,ORD1036,P1431,1,29.56,Yes,5.46,3.78,27.88,Not Returned,
TX1036,ORD1036,P1270,2,57.6,No,0.0,20.45,78.05,Returned,2025-05-06 03:12:56
TX1036,ORD1036,P1405,2,177.12,No,0.0,20.4,197.52,Not Returned,
TX1037,ORD1037,P1739,3,564.18,Yes,82.84,22.51,503.85,Not Returned,
TX1037,ORD1037,P1829,1,25.92,Yes,7.44,5.11,23.59,Not Returned,
TX1038,ORD1038,P1891,2,58.72,Yes,15.94,6.23,49.01,Not Returned,
TX1038,ORD1038,P1535,1,31.25,No,0.0,15.57,46.82,Not Returned,
TX1038,ORD1038,P1441,1,91.77,Yes,25.18,15.98,82.57,Not Returned,
TX1039,ORD1039,P1725,2,26.84,Yes,5.3,3.11,24.65,Not Returned,
TX1039,ORD1039,P1499,3,133.41,Yes,19.95,13.07,126.53,Not Returned,
TX1040,ORD1040,P1188,1,96.92,No,0.0,3.18,100.1,Returned,2025-05-08 03:07:10
TX1040,ORD1040,P1083,2,206.16,Yes,32.39,17.85,191.62,Not Returned,
TX1041,ORD1041,P1078,2,115.58,No,0.0,19.51,135.09,Not Returned,
TX1042,ORD1042,P1573,1,75.37,No,0.0,17.09,92.46,Not Returned,
TX1043,ORD1043,P1524,1,106.44,No,0.0,8.87,115.31,Not Returned,
TX1043,ORD1043,P1718,1,65.55,No,0.0,17.42,82.97,Not Returned,
TX1043,ORD1043,P1510,2,25.76,Yes,7.23,21.42,39.95,Not Returned,
TX1044,ORD1044,P1976,3,108.33,Yes,15.81,13.03,105.55,Not Returned,
TX1045,ORD1045,P1515,2,57.76,No,0.0,15.52,73.28,Not Returned,
TX1045,ORD1045,P1292,1,116.41,Yes,20.14,4.84,101.11,Not Returned,
TX1046,ORD1046,P1634,3,329.04,Yes,67.05,20.93,282.92,Not Returned,
TX1046,ORD1046,P1728,3,88.08,No,0.0,12.4,100.48,Not Returned,
TX1046,ORD1046,P1392,2,88.6,Yes,24.68,20.83,84.75,Not Returned,
TX1047,ORD1047,P1250,3,492.9,Yes,99.56,2.46,395.8,Not Returned,
TX1048,ORD1048,P1874,3,234.03,No,0.0,19.04,253.07,Not Returned,
TX1049,ORD1049,P1921,3,44.28,Yes,10.28,23.9,57.9,Not Returned,
TX1049,ORD1049,P1040,2,174.56,No,0.0,12.28,186.84,Not Returned,
TX1050,ORD1050,P1215,1,139.72,No,0.0,20.44,160.16,Not Returned,
TX1050,ORD1050,P1982,3,9.27,Yes,2.49,3.43,10.21,Returned,2025-04-27 22:52:33
TX1050,ORD1050,P1019,1,322.52,Yes,93.37,2.55,231.7,Not Returned,
TX1051,ORD1051,P1139,3,292.95,No,0.0,10.84,303.79,Not Returned,
TX1052,ORD1052,P1001,2,231.48,No,0.0,5.01,236.49,Not Returned,
TX1053,ORD1053,P1093,2,630.24,No,0.0,20.36,650.6,Not Returned,
TX1054,ORD1054,P1332,3,1491.69,Yes,230.98,8.98,1269.69,Returned,2025-03-13 04:50:10
TX1054,ORD1054,P1035,3,188.82,No,0.0,20.15,208.97,Not Returned,
TX1054,ORD1054,P1994,1,12.36,No,0.0,2.0,14.36,Not Returned,
TX1055,ORD1055,P1121,2,122.52,Yes,14.19,20.08,128.41,Not Returned,
TX1056,ORD1056,P1287,2,950.68,No,0.0,17.59,968.27,Not Returned,
TX1056,ORD1056,P1776,1,33.0,No,0.0,18.1,51.1,Not Returned,
TX1056,ORD1056,P1088,2,896.58,No,0.0,16.39,912.97,Not Returned,
TX1057,ORD1057,P1353,2,114.62,Yes,15.1,10.8,110.32,Returned,2025-05-05 11:31:03
TX1058,ORD1058,P1874,2,156.02,No,0.0,11.02,167.04,Not Returned,
TX1059,ORD1059,P1849,2,230.98,No,0.0,8.14,239.12,Not Returned,
TX1059,ORD1059,P1890,3,536.1,Yes,124.1,15.25,427.25,Not Returned,
TX1060,ORD1060,P1214,1,2.25,No,0.0,8.69,10.94,Not Returned,
TX1060,ORD1060,P1101,1,493.53,Yes,113.65,11.12,391.0,Not Returned,
TX1061,ORD1061,P1884,2,175.74,Yes,40.17,8.11,143.68,Not Returned,
TX1062,ORD1062,P1008,2,56.04,Yes,14.36,5.29,46.97,Not Returned,
TX1062,ORD1062,P1042,1,22.95,No,0.0,12.48,35.43,Not Returned,
TX1063,ORD1063,P1010,2,436.24,Yes,77.84,19.47,377.87,Not Returned,
TX1063,ORD1063,P1685,1,119.79,Yes,32.98,22.61,109.42,Not Returned,
TX1063,ORD1063,P1656,3,178.35,Yes,43.3,2.55,137.6,Not Returned,
TX1064,ORD1064,P1117,3,40.44,No,0.0,17.59,58.03,Not Returned,
TX1064,ORD1064,P1816,1,90.5,No,0.0,6.92,97.42,Not Returned,
TX1065,ORD1065,P1661,2,53.5,Yes,15.53,19.29,57.26,Returned,2025-05-18 15:50:40
TX1065,ORD1065,P1664,2,168.92,No,0.0,11.0,179.92,Returned,2025-05-13 15:50:40
TX1066,ORD1066,P1162,2,179.38,No,0.0,8.55,187.93,Not Returned,
TX1067,ORD1067,P1148,1,14.95,No,0.0,12.95,27.9,Not Returned,
TX1067,ORD1067,P1632,1,77.89,Yes,8.0,22.66,92.55,Not Returned,
TX1067,ORD1067,P1377,1,104.74,No,0.0,2.08,106.82,Not Returned,
TX1068,ORD1068,P1746,1,113.13,Yes,14.61,14.29,112.81,Not Returned,
TX1068,ORD1068,P1995,3,226.8,No,0.0,3.98,230.78,Not Returned,
TX1068,ORD1068,P1315,2,187.44,Yes,25.46,8.41,170.39,Not Returned,
TX1069,ORD1069,P1345,2,268.84,Yes,55.56,13.85,227.13,Not Returned,
TX1070,ORD1070,P1811,3,145.92,Yes,36.06,3.08,112.94,Not Returned,
TX1070,ORD1070,P1139,1,97.65,Yes,26.78,7.11,77.98,Not Returned,
TX1070,ORD1070,P1176,3,147.63,Yes,29.49,16.96,135.1,Not Returned,
TX1071,ORD1071,P1713,2,7.84,Yes,2.16,21.0,26.68,Not Returned,
TX1072,ORD1072,P1093,3,945.36,No,0.0,11.65,957.01,Not Returned,
TX1073,ORD1073,P1128,2,20.72,No,0.0,8.99,29.71,Not Returned,
TX1074,ORD1074,P1424,3,432.57,Yes,108.54,24.08,348.11,Not Returned,
TX1074,ORD1074,P1072,3,294.84,Yes,69.34,22.59,248.09,Not Returned,
TX1074,ORD1074,P1369,2,99.16,Yes,17.61,22.2,103.75,Not Returned,
TX1075,ORD1075,P1078,1,57.79,Yes,6.24,8.44,59.99,Not Returned,
TX1075,ORD1075,P1288,2,660.06,Yes,119.91,20.85,561.0,Not Returned,
TX1075,ORD1075,P1102,3,151.44,Yes,33.41,0.63,118.66,Not Returned,
TX1076,ORD1076,P1361,3,184.26,Yes,43.31,1.36,142.31,Returned,2025-05-20 04:04:35
TX1076,ORD1076,P1630,2,201.78,Yes,52.12,21.86,171.52,Not Returned,
TX1077,ORD1077,P1274,2,191.98,Yes,53.98,21.41,159.41,Not Returned,
TX1078,ORD1078,P1367,3,314.1,No,0.0,5.4,319.5,Not Returned,
TX1078,ORD1078,P1696,3,289.23,Yes,70.59,9.07,227.71,Not Returned,
TX1079,ORD1079,P1307,1,51.4,No,0.0,4.02,55.42,Returned,2025-03-16 00:20:05
TX1079,ORD1079,P1511,1,330.86,Yes,90.16,15.76,256.46,Returned,2025-03-21 00:20:05
TX1079,ORD1079,P1106,3,253.98,No,0.0,14.71,268.69,Not Returned,
TX1080,ORD1080,P1512,2,172.38,No,0.0,23.52,195.9,Not Returned,
TX1081,ORD1081,P1505,3,131.58,Yes,15.36,5.98,122.2,Not Returned,
TX1081,ORD1081,P1124,2,16.16,No,0.0,2.01,18.17,Not Returned,
TX1082,ORD1082,P1668,1,447.66,No,0.0,9.75,457.41,Not Returned,
TX1083,ORD1083,P1694,3,10.56,No,0.0,15.83,26.39,Not Returned,
TX1083,ORD1083,P1962,1,41.85,Yes,8.35,18.93,52.43,Not Returned,
TX1083,ORD1083,P1103,1,321.59,No,0.0,5.03,326.62,Not Returned,
TX1084,ORD1084,P1495,2,52.52,No,0.0,8.55,61.07,Not Returned,
TX1084,ORD1084,P1440,3,48.33,Yes,13.14,1.16,36.35,Not Returned,
TX1085,ORD1085,P1138,3,30.72,No,0.0,3.89,34.61,Not Returned,
TX1086,ORD1086,P1305,3,30.12,Yes,4.21,7.08,32.99,Not Returned,
TX1087,ORD1087,P1774,3,97.68,Yes,25.73,13.1,85.05,Not Returned,
TX1088,ORD1088,P1325,1,171.9,No,0.0,1.82,173.72,Not Returned,
TX1088,ORD1088,P1243,2,55.3,No,0.0,16.53,71.83,Not Returned,
TX1088,ORD1088,P1271,2,95.62,Yes,17.98,18.88,96.52,Returned,2025-04-09 13:44:37
TX1089,ORD1089,P1558,3,1288.26,No,0.0,24.06,1312.32,Not Returned,
TX1089,ORD1089,P1398,3,353.46,Yes,49.5,8.51,312.47,Not Returned,
TX1090,ORD1090,P1629,3,11.64,No,0.0,19.77,31.41,Not Returned,
TX1090,ORD1090,P1530,3,234.36,No,0.0,6.48,240.84,Not Returned,
TX1091,ORD1091,P1088,1,448.29,No,0.0,2.4,450.69,Not Returned,
TX1091,ORD1091,P1087,1,80.28,Yes,15.65,13.88,78.51,Not Returned,
TX1092,ORD1092,P1721,2,258.28,Yes,58.9,19.67,219.05,Not Returned,
TX1093,ORD1093,P1448,1,55.05,No,0.0,8.96,64.01,Returned,2025-04-26 17:13:30
TX1094,ORD1094,P1511,2,661.72,No,0.0,2.02,663.74,Not Returned,
TX1094,ORD1094,P1682,2,404.76,No,0.0,14.09,418.85,Not Returned,
TX1095,ORD1095,P1799,1,55.64,No,0.0,2.45,58.09,Not Returned,
TX1095,ORD1095,P1065,3,283.65,No,0.0,7.56,291.21,Not Returned,
TX1096,ORD1096,P1927,1,38.83,No,0.0,1.14,39.97,Not Returned,
TX1096,ORD1096,P1436,2,263.9,No,0.0,11.07,274.97,Not Returned,
TX1097,ORD1097,P1482,3,191.58,Yes,47.98,14.97,158.57,Not Returned,
TX1098,ORD1098,P1312,1,111.39,No,0.0,6.31,117.7,Not Returned,
TX1098,ORD1098,P1153,3,1042.59,No,0.0,12.34,1054.93,Not Returned,
TX1098,ORD1098,P1969,3,154.14,Yes,38.54,2.42,118.02,Not Returned,
TX1099,ORD1099,P1026,1,74.02,No,0.0,17.02,91.04,Not Returned,
TX1099,ORD1099,P1219,1,38.62,Yes,9.6,8.03,37.05,Not Returned,
TX1099,ORD1099,P1425,1,291.7,No,0.0,11.49,303.19,Not Returned,
TX1100,ORD1100,P1982,1,3.09,No,0.0,0.5,3.59,Not Returned,
TX1101,ORD1101,P1136,1,50.46,Yes,14.99,15.04,50.51,Not Returned,
TX1101,ORD1101,P1539,2,389.42,Yes,108.27,8.07,289.22,Returned,2025-03-14 16:41:56
TX1102,ORD1102,P1917,1,14.17,No,0.0,8.01,22.18,Not Returned,
TX1102,ORD1102,P1671,2,42.78,Yes,5.33,12.94,50.39,Not Returned,
TX1103,ORD1103,P1271,1,47.81,Yes,6.51,15.09,56.39,Not Returned,
TX1104,ORD1104,P1059,3,14.22,No,0.0,15.73,29.95,Not Returned,
TX1104,ORD1104,P1299,2,33.18,Yes,5.45,18.11,45.84,Not Returned,
TX1104,ORD1104,P1243,1,27.65,No,0.0,17.07,44.72,Returned,2025-04-21 06:01:05
TX1105,ORD1105,P1375,3,432.0,No,0.0,17.42,449.42,Returned,2025-04-02 11:10:33
TX1105,ORD1105,P1143,2,159.4,Yes,18.38,18.47,159.49,Not Returned,
TX1105,ORD1105,P1339,2,388.36,No,0.0,11.59,399.95,Not Returned,
TX1106,ORD1106,P1232,2,124.4,Yes,19.97,12.83,117.26,Not Returned,
TX1107,ORD1107,P1203,2,51.7,No,0.0,21.24,72.94,Not Returned,
TX1107,ORD1107,P1392,3,132.9,Yes,17.98,20.65,135.57,Not Returned,
TX1107,ORD1107,P1829,2,51.84,Yes,15.53,9.72,46.03,Returned,2025-04-26 14:34:16
TX1108,ORD1108,P1561,1,2.03,Yes,0.56,4.14,5.61,Not Returned,
TX1108,ORD1108,P1136,1,50.46,Yes,5.29,20.7,65.87,Not Returned,
TX1109,ORD1109,P1504,1,22.28,No,0.0,7.15,29.43,Not Returned,
TX1109,ORD1109,P1198,1,214.48,No,0.0,13.7,228.18,Not Returned,
TX1109,ORD1109,P1554,2,176.84,Yes,50.63,16.28,142.49,Not Returned,
TX1110,ORD1110,P1678,3,109.2,Yes,26.5,3.62,86.32,Not Returned,
TX1110,ORD1110,P1829,2,51.84,No,0.0,11.63,63.47,Not Returned,
TX1110,ORD1110,P1097,2,204.9,Yes,22.8,15.47,197.57,Not Returned,
TX1111,ORD1111,P1255,3,163.35,No,0.0,21.09,184.44,Not Returned,
TX1111,ORD1111,P1807,3,63.63,No,0.0,12.95,76.58,Not Returned,
TX1112,ORD1112,P1390,3,371.55,No,0.0,10.18,381.73,Not Returned,
TX1112,ORD1112,P1399,2,130.34,No,0.0,10.66,141.0,Not Returned,
TX1112,ORD1112,P1205,2,235.36,Yes,33.04,16.54,218.86,Not Returned,
TX1113,ORD1113,P1387,1,30.5,Yes,7.46,19.71,42.75,Not Returned,
TX1113,ORD1113,P1693,1,47.07,Yes,12.97,13.93,48.03,Not Returned,
TX1113,ORD1113,P1213,2,227.34,No,0.0,18.32,245.66,Not Returned,
TX1114,ORD1114,P1362,2,154.12,Yes,18.44,5.8,141.48,Not Returned,
TX1114,ORD1114,P1243,3,82.95,Yes,24.2,18.27,77.02,Not Returned,
TX1114,ORD1114,P1918,3,209.55,Yes,48.75,0.4,161.2,Not Returned,
TX1115,ORD1115,P1330,3,871.83,Yes,255.75,10.9,626.98,Not Returned,
TX1116,ORD1116,P1762,1,459.89,No,0.0,2.22,462.11,Not Returned,
TX1116,ORD1116,P1591,3,161.37,Yes,23.17,7.06,145.26,Not Returned,
TX1116,ORD1116,P1213,1,113.67,No,0.0,0.3,113.97,Not Returned,
TX1117,ORD1117,P1014,3,192.9,No,0.0,13.82,206.72,Not Returned,
TX1117,ORD1117,P1982,2,6.18,No,0.0,11.41,17.59,Not Returned,
TX1117,ORD1117,P1908,3,347.7,Yes,71.72,0.68,276.66,Not Returned,
TX1118,ORD1118,P1485,1,90.72,Yes,12.65,21.67,99.74,Not Returned,
TX1118,ORD1118,P1531,2,58.42,No,0.0,4.83,63.25,Not Returned,
TX1118,ORD1118,P1916,2,441.12,Yes,127.33,14.31,328.1,Not Returned,
TX1119,ORD1119,P1877,1,256.56,Yes,35.8,4.31,225.07,Not Returned,
TX1119,ORD1119,P1832,3,433.92,Yes,92.96,24.4,365.36,Not Returned,
TX1120,ORD1120,P1658,3,1437.27,No,0.0,11.64,1448.91,Not Returned,
TX1120,ORD1120,P1502,3,1363.77,No,0.0,19.08,1382.85,Returned,2025-05-14 10:13:12
TX1121,ORD1121,P1033,2,56.12,Yes,6.28,13.03,62.87,Not Returned,
TX1121,ORD1121,P1151,3,163.14,No,0.0,10.82,173.96,Not Returned,
TX1121,ORD1121,P1361,3,184.26,Yes,39.26,2.52,147.52,Returned,2025-05-25 20:34:48
TX1122,ORD1122,P1511,3,992.58,No,0.0,20.48,1013.06,Not Returned,
TX1123,ORD1123,P1337,1,169.58,No,0.0,13.19,182.77,Not Returned,
TX1124,ORD1124,P1072,3,294.84,Yes,77.79,19.04,236.09,Not Returned,
TX1124,ORD1124,P1753,1,68.94,No,0.0,4.18,73.12,Not Returned,
TX1125,ORD1125,P1272,1,33.38,Yes,9.74,9.91,33.55,Not Returned,
TX1125,ORD1125,P1992,1,95.66,No,0.0,17.33,112.99,Not Returned,
TX1126,ORD1126,P1442,3,191.94,No,0.0,11.77,203.71,Not Returned,
TX1127,ORD1127,P1206,2,74.54,No,0.0,23.69,98.23,Not Returned,
TX1127,ORD1127,P1658,2,958.18,Yes,177.39,6.42,787.21,Not Returned,
TX1128,ORD1128,P1282,3,422.7,No,0.0,8.73,431.43,Not Returned,
TX1129,ORD1129,P1253,2,340.08,No,0.0,4.01,344.09,Not Returned,
TX1130,ORD1130,P1425,1,291.7,Yes,70.73,23.0,243.97,Not Returned,
TX1130,ORD1130,P1530,2,156.24,No,0.0,2.01,158.25,Not Returned,
TX1131,ORD1131,P1488,2,197.76,No,0.0,0.21,197.97,Not Returned,
TX1131,ORD1131,P1551,1,183.4,No,0.0,23.85,207.25,Not Returned,
TX1132,ORD1132,P1995,1,75.6,No,0.0,9.57,85.17,Not Returned,
TX1132,ORD1132,P1249,3,1487.28,Yes,385.43,23.47,1125.32,Returned,2025-06-06 17:36:51
TX1133,ORD1133,P1528,3,308.04,Yes,55.93,9.75,261.86,Not Returned,
TX1133,ORD1133,P1959,3,144.6,No,0.0,9.45,154.05,Not Returned,
TX1134,ORD1134,P1958,3,206.22,No,0.0,6.4,212.62,Not Returned,
TX1135,ORD1135,P1660,3,953.67,No,0.0,14.81,968.48,Not Returned,
TX1136,ORD1136,P1376,3,620.07,Yes,67.73,0.99,553.33,Not Returned,
TX1137,ORD1137,P1058,3,114.84,No,0.0,11.94,126.78,Not Returned,
TX1138,ORD1138,P1172,1,92.1,No,0.0,10.56,102.66,Not Returned,
TX1138,ORD1138,P1870,2,170.32,Yes,30.87,24.45,163.9,Not Returned,
TX1139,ORD1139,P1302,1,112.9,No,0.0,14.29,127.19,Not Returned,
TX1139,ORD1139,P1045,3,223.02,No,0.0,4.17,227.19,Not Returned,
TX1140,ORD1140,P1333,2,118.42,Yes,30.0,7.96,96.38,Not Returned,
TX1140,ORD1140,P1136,3,151.38,Yes,23.43,1.38,129.33,Not Returned,
TX1141,ORD1141,P1177,1,116.69,Yes,17.36,14.7,114.03,Not Returned,
TX1141,ORD1141,P1727,2,66.76,No,0.0,22.21,88.97,Not Returned,
TX1142,ORD1142,P1370,1,55.45,Yes,9.57,24.86,70.74,Not Returned,
TX1143,ORD1143,P1684,3,136.23,No,0.0,5.79,142.02,Not Returned,
TX1143,ORD1143,P1307,1,51.4,Yes,15.1,0.86,37.16,Returned,2025-05-20 20:59:41
TX1144,ORD1144,P1688,2,57.54,Yes,16.64,20.05,60.95,Not Returned,
TX1144,ORD1144,P1469,3,81.69,Yes,19.61,0.53,62.61,Not Returned,
TX1145,ORD1145,P1074,2,383.86,Yes,57.82,22.82,348.86,Not Returned,
TX1145,ORD1145,P1087,1,80.28,No,0.0,24.33,104.61,Returned,2025-05-21 15:13:12
TX1146,ORD1146,P1790,2,123.62,No,0.0,5.25,128.87,Not Returned,
TX1147,ORD1147,P1157,1,63.41,Yes,8.24,4.59,59.76,Not Returned,
TX1147,ORD1147,P1736,3,811.08,Yes,234.18,17.74,594.64,Not Returned,
TX1147,ORD1147,P1331,2,313.36,Yes,89.34,8.94,232.96,Returned,2025-05-22 20:13:04
TX1148,ORD1148,P1329,2,380.96,No,0.0,19.58,400.54,Not Returned,
TX1149,ORD1149,P1684,3,136.23,Yes,27.42,9.15,117.96,Returned,2025-06-02 06:32:01
TX1149,ORD1149,P1543,2,212.96,Yes,23.97,17.61,206.6,Not Returned,
TX1149,ORD1149,P1988,3,709.89,No,0.0,2.29,712.18,Not Returned,
TX1150,ORD1150,P1915,3,430.98,No,0.0,16.38,447.36,Not Returned,
TX1151,ORD1151,P1271,2,95.62,Yes,26.59,13.71,82.74,Not Returned,
TX1152,ORD1152,P1142,3,346.47,No,0.0,21.2,367.67,Returned,2025-05-09 05:05:21
TX1153,ORD1153,P1506,1,379.64,Yes,61.88,12.37,330.13,Not Returned,
TX1153,ORD1153,P1788,1,135.16,No,0.0,24.93,160.09,Not Returned,
TX1154,ORD1154,P1556,1,98.17,Yes,14.21,12.88,96.84,Not Returned,
TX1154,ORD1154,P1230,2,416.28,Yes,65.14,7.36,358.5,Not Returned,
TX1155,ORD1155,P1786,3,69.9,Yes,11.23,17.19,75.86,Not Returned,
TX1155,ORD1155,P1130,2,8.6,No,0.0,13.18,21.78,Not Returned,
TX1155,ORD1155,P1364,2,846.54,Yes,226.45,10.04,630.13,Not Returned,
TX1156,ORD1156,P1762,1,459.89,Yes,120.36,20.35,359.88,Not Returned,
TX1157,ORD1157,P1536,1,82.51,No,0.0,10.09,92.6,Not Returned,
TX1157,ORD1157,P1601,1,35.84,Yes,5.97,8.58,38.45,Not Returned,
TX1158,ORD1158,P1556,1,98.17,No,0.0,2.0,100.17,Not Returned,
TX1158,ORD1158,P1409,1,62.75,No,0.0,23.79,86.54,Not Returned,
TX1159,ORD1159,P1319,1,16.09,No,0.0,9.02,25.11,Not Returned,
TX1159,ORD1159,P1475,1,55.64,Yes,7.56,19.69,67.77,Not Returned,
TX1159,ORD1159,P1070,1,116.96,No,0.0,8.4,125.36,Not Returned,
TX1160,ORD1160,P1274,1,95.99,Yes,10.03,11.16,97.12,Returned,2025-05-23 11:59:02
TX1161,ORD1161,P1916,2,441.12,Yes,80.0,23.09,384.21,Returned,2025-04-04 14:39:09
TX1161,ORD1161,P1846,3,39.87,Yes,11.52,11.38,39.73,Not Returned,
