campaign_id,channel,touchpoint_type,touch_date,campaign_medium,utm_source,utm_campaign,touchpoint_status,conversion_flag,time_to_conversion,creative_id,segment_id,frequency,reach,click_through_rate,cost_per_click,landing_page_url
CAM1006,email,banner,2025-05-30 07:25:42,cpc,google,utm_107,seen,0,,CR629,S233,5,1735,0.079,3.56,http://james-carroll.com/
CAM1001,social,text,2025-03-10 10:34:06,cpm,facebook,utm_350,seen,0,,CR135,S886,2,5496,0.133,4.68,http://brewer.com/
CAM1002,email,text,2025-03-08 09:19:28,cpc,mailchimp,utm_757,seen,0,,CR536,S107,4,3906,0.093,4.02,https://johnson.com/
CAM1000,search,text,2025-03-14 18:30:24,cpc,linkedin,utm_814,converted,1,8.0,CR143,S462,4,1386,0.179,2.24,https://martinez.com/
CAM1006,display,banner,2025-05-25 11:13:32,cpm,google,utm_297,seen,0,,CR267,S673,2,3014,0.022,3.93,https://www.rodriguez.com/
CAM1005,social,text,2025-04-14 04:47:48,cpm,google,utm_689,clicked,0,,CR844,S543,1,6871,0.139,3.63,https://warner.com/
CAM1001,social,video,2025-05-11 00:21:53,cpm,linkedin,utm_224,converted,1,14.0,CR310,S466,2,3209,0.154,3.94,http://www.sanders.com/
CAM1007,search,popup,2025-03-04 14:35:30,cpm,google,utm_871,seen,0,,CR496,S384,2,6143,0.127,3.34,https://gutierrez-dudley.org/
CAM1006,display,video,2025-05-27 03:06:44,cpc,facebook,utm_156,seen,0,,CR369,S453,4,8129,0.174,2.38,http://www.mckinney-higgins.com/
CAM1006,email,text,2025-05-17 20:39:28,cpm,linkedin,utm_487,converted,1,32.0,CR455,S478,3,6647,0.117,0.9,https://www.nelson.info/
CAM1001,social,popup,2025-05-18 16:15:41,cpv,facebook,utm_294,seen,0,,CR446,S892,1,3184,0.165,1.02,http://www.conley.info/
CAM1006,display,video,2025-05-16 21:24:33,cpc,facebook,utm_109,seen,0,,CR381,S638,5,8828,0.029,3.75,http://www.cox-george.info/
CAM1004,email,text,2025-05-19 16:24:09,cpv,mailchimp,utm_417,converted,1,12.0,CR838,S380,3,1813,0.123,3.31,https://www.hopkins-watson.net/
CAM1001,display,text,2025-04-22 12:04:42,cpm,mailchimp,utm_630,seen,0,,CR303,S489,5,9091,0.065,4.48,http://fowler.com/
CAM1006,email,text,2025-04-15 09:19:01,cpc,mailchimp,utm_476,seen,0,,CR494,S613,4,4520,0.052,1.91,https://olsen.net/
CAM1006,search,video,2025-04-09 14:18:10,cpm,facebook,utm_675,seen,0,,CR241,S868,1,5445,0.03,1.05,https://guzman.com/
CAM1007,email,text,2025-05-29 18:45:05,cpc,facebook,utm_442,seen,0,,CR192,S931,4,9199,0.073,4.51,https://molina-hensley.com/
CAM1005,email,banner,2025-05-26 09:14:47,cpm,mailchimp,utm_752,seen,0,,CR232,S673,4,4488,0.023,4.27,http://hull.com/
CAM1002,email,video,2025-04-22 10:46:58,cpv,mailchimp,utm_151,clicked,0,,CR437,S159,5,4558,0.168,2.42,http://www.summers.com/
CAM1005,email,banner,2025-05-19 22:45:43,cpv,mailchimp,utm_847,clicked,0,,CR639,S545,3,5680,0.197,0.59,https://www.stephens.com/
CAM1004,email,popup,2025-05-30 17:33:18,cpc,facebook,utm_398,seen,0,,CR281,S329,4,8772,0.036,0.48,http://www.mckinney.com/
CAM1007,search,text,2025-04-23 05:58:57,cpm,facebook,utm_385,clicked,0,,CR933,S324,1,8548,0.137,1.49,https://ray.biz/
CAM1007,display,text,2025-05-06 18:41:32,cpc,google,utm_421,clicked,0,,CR912,S262,4,2676,0.104,0.56,http://www.schneider.com/
CAM1006,display,text,2025-05-09 12:52:16,cpm,linkedin,utm_920,seen,0,,CR692,S787,1,3008,0.069,3.69,http://www.thomas-jones.com/
CAM1001,social,video,2025-03-24 11:30:45,cpc,mailchimp,utm_522,seen,0,,CR266,S565,1,1608,0.153,1.41,https://weaver.com/
CAM1006,social,popup,2025-03-03 06:46:19,cpv,mailchimp,utm_112,seen,0,,CR477,S227,2,8762,0.193,0.4,http://www.martinez-lopez.com/
CAM1000,display,text,2025-03-07 12:10:20,cpc,facebook,utm_803,converted,1,23.0,CR893,S969,5,1475,0.141,4.28,https://henderson.biz/
CAM1000,search,banner,2025-03-02 00:37:34,cpc,facebook,utm_332,clicked,0,,CR992,S312,4,3722,0.126,4.03,https://brooks-torres.org/
CAM1002,search,video,2025-04-27 06:04:44,cpv,linkedin,utm_435,seen,0,,CR192,S157,5,3813,0.016,3.71,https://www.henry.com/
CAM1007,social,banner,2025-03-25 20:00:56,cpm,linkedin,utm_729,seen,0,,CR786,S713,3,8265,0.171,0.64,https://carrillo.com/
CAM1004,search,popup,2025-05-06 11:48:42,cpc,mailchimp,utm_761,clicked,0,,CR102,S396,4,7757,0.194,3.46,https://www.johnson-freeman.com/
CAM1000,search,text,2025-04-16 02:31:53,cpm,linkedin,utm_908,seen,0,,CR436,S135,5,9229,0.059,0.33,https://www.sanchez.com/
CAM1000,email,banner,2025-04-14 03:29:44,cpc,mailchimp,utm_733,converted,1,5.0,CR613,S392,2,5195,0.083,2.04,https://munoz.com/
CAM1004,social,popup,2025-04-01 08:20:50,cpc,google,utm_386,seen,0,,CR860,S753,1,1501,0.176,4.75,https://austin.com/
CAM1007,search,video,2025-05-06 09:25:29,cpm,mailchimp,utm_603,converted,1,9.0,CR660,S155,1,2862,0.064,2.87,http://www.wallace.org/
CAM1006,social,popup,2025-04-07 16:31:13,cpc,linkedin,utm_931,converted,1,12.0,CR410,S494,2,3100,0.074,0.43,http://wilson.info/
CAM1003,search,popup,2025-03-29 11:38:49,cpc,facebook,utm_335,clicked,0,,CR524,S800,2,9218,0.042,1.88,http://www.burke-simmons.com/
CAM1006,social,video,2025-05-21 07:13:25,cpc,google,utm_774,converted,1,33.0,CR399,S459,5,1915,0.165,3.92,http://www.tucker-smith.com/
CAM1007,display,video,2025-05-14 23:58:06,cpv,mailchimp,utm_703,seen,0,,CR404,S541,5,5590,0.015,3.61,https://www.white-peterson.org/
CAM1007,email,banner,2025-05-22 02:14:50,cpv,google,utm_648,clicked,0,,CR880,S123,3,7151,0.124,1.77,https://www.wallace.com/
CAM1004,search,text,2025-03-16 23:09:26,cpv,linkedin,utm_844,clicked,0,,CR488,S645,1,9475,0.18,4.5,http://www.irwin.info/
CAM1003,display,banner,2025-04-05 14:24:58,cpv,mailchimp,utm_739,seen,0,,CR507,S834,3,3680,0.175,2.23,https://www.warren.com/
CAM1007,search,banner,2025-04-10 15:27:57,cpv,linkedin,utm_850,seen,0,,CR929,S380,5,6893,0.014,3.23,https://www.graham-miles.com/
CAM1000,display,banner,2025-03-07 07:52:10,cpv,mailchimp,utm_521,clicked,0,,CR150,S486,3,4780,0.184,0.31,http://howard.com/
CAM1003,display,video,2025-03-12 17:58:32,cpv,google,utm_195,clicked,0,,CR589,S796,2,5626,0.066,4.99,http://www.hudson.com/
CAM1001,social,video,2025-04-13 07:29:35,cpm,linkedin,utm_297,clicked,0,,CR419,S513,4,3065,0.188,0.32,https://jones-tyler.com/
CAM1000,social,text,2025-04-26 12:26:20,cpc,google,utm_407,converted,1,2.0,CR751,S916,3,8466,0.2,2.89,https://www.williams.biz/
CAM1007,search,video,2025-03-02 02:04:58,cpc,mailchimp,utm_242,seen,0,,CR379,S257,2,9852,0.075,4.03,https://www.french.org/
CAM1006,display,text,2025-04-21 12:11:58,cpc,mailchimp,utm_334,converted,1,23.0,CR262,S430,3,3948,0.158,0.53,http://flores.info/
CAM1005,search,popup,2025-05-17 18:59:24,cpm,google,utm_991,seen,0,,CR687,S898,4,6837,0.043,1.69,http://www.wells.biz/
CAM1004,search,text,2025-04-23 16:39:33,cpm,facebook,utm_833,seen,0,,CR196,S694,2,5350,0.024,2.53,http://www.martinez.com/
CAM1004,display,text,2025-04-16 09:05:40,cpv,facebook,utm_466,seen,0,,CR867,S747,1,8125,0.148,1.71,http://www.sims.com/
CAM1007,email,video,2025-03-22 21:05:06,cpc,facebook,utm_655,converted,1,40.0,CR822,S818,4,8732,0.061,2.26,https://goodwin.com/
CAM1002,display,banner,2025-05-15 19:00:15,cpv,linkedin,utm_158,converted,1,33.0,CR560,S573,3,1869,0.02,1.4,https://www.powers.biz/
CAM1006,email,video,2025-04-13 16:10:33,cpv,mailchimp,utm_886,seen,0,,CR447,S825,1,9833,0.14,3.49,http://www.mendez-tyler.biz/
CAM1007,social,popup,2025-05-02 17:23:04,cpm,google,utm_886,converted,1,24.0,CR860,S183,5,9477,0.099,0.91,http://www.boyd.org/
CAM1006,display,video,2025-03-04 00:02:05,cpv,facebook,utm_417,seen,0,,CR795,S613,5,7421,0.132,3.8,https://www.miller.com/
CAM1000,email,popup,2025-04-05 21:02:47,cpc,mailchimp,utm_346,clicked,0,,CR855,S217,5,5304,0.12,4.04,https://marshall-roman.com/
CAM1002,search,banner,2025-03-30 11:11:56,cpv,google,utm_478,seen,0,,CR258,S479,1,4346,0.168,0.33,https://dixon-hughes.org/
CAM1006,email,text,2025-05-07 12:02:56,cpv,facebook,utm_868,converted,1,12.0,CR513,S197,5,2701,0.141,1.25,http://davis-burns.com/
CAM1007,social,banner,2025-04-21 17:22:19,cpv,linkedin,utm_646,seen,0,,CR349,S276,3,4470,0.145,2.23,http://adams.net/
CAM1006,email,banner,2025-03-23 02:54:39,cpm,linkedin,utm_653,seen,0,,CR568,S541,5,9301,0.197,3.52,https://knight.com/
CAM1002,social,text,2025-03-19 15:02:05,cpm,google,utm_279,seen,0,,CR168,S700,1,2334,0.057,2.67,https://baker-coleman.com/
CAM1004,social,text,2025-05-14 14:18:05,cpm,linkedin,utm_399,seen,0,,CR170,S575,1,3096,0.044,2.23,http://mcdaniel.net/
CAM1004,display,banner,2025-04-23 16:21:28,cpc,google,utm_800,converted,1,23.0,CR947,S995,5,5887,0.134,2.98,https://www.perkins-thompson.com/
CAM1002,social,popup,2025-05-02 00:02:06,cpm,google,utm_250,seen,0,,CR329,S960,1,2831,0.033,2.8,http://www.tyler.info/
CAM1007,email,video,2025-04-06 09:48:36,cpm,facebook,utm_265,seen,0,,CR173,S853,5,8656,0.033,2.26,http://love-randolph.info/
CAM1002,display,popup,2025-04-22 04:15:10,cpm,mailchimp,utm_803,converted,1,16.0,CR319,S614,3,7527,0.126,3.54,https://www.obrien-king.biz/
CAM1006,email,text,2025-05-18 22:41:39,cpc,google,utm_929,seen,0,,CR193,S869,5,8132,0.151,4.04,https://www.lopez.info/
CAM1003,search,popup,2025-04-14 03:40:08,cpc,linkedin,utm_581,clicked,0,,CR949,S147,2,6343,0.105,0.11,https://baker.info/
CAM1006,search,video,2025-04-27 19:05:01,cpc,mailchimp,utm_516,converted,1,26.0,CR962,S209,2,6593,0.065,3.8,http://hughes-wilson.com/
CAM1003,email,text,2025-03-12 22:24:59,cpm,linkedin,utm_853,seen,0,,CR829,S935,3,4148,0.039,3.02,https://www.boone.com/
CAM1007,email,text,2025-04-23 06:04:33,cpc,mailchimp,utm_776,clicked,0,,CR628,S760,3,3159,0.108,3.31,https://www.frost.biz/
CAM1003,social,text,2025-03-20 21:26:04,cpm,google,utm_830,seen,0,,CR757,S515,4,5660,0.172,3.07,http://www.rodriguez.com/
CAM1002,email,banner,2025-03-28 14:12:22,cpm,facebook,utm_872,converted,1,3.0,CR507,S242,5,9069,0.18,1.38,https://www.robinson.org/
CAM1007,display,text,2025-05-12 23:38:59,cpc,linkedin,utm_348,seen,0,,CR220,S966,2,8971,0.065,3.11,https://hernandez.org/
CAM1002,social,popup,2025-03-31 18:00:21,cpv,mailchimp,utm_470,clicked,0,,CR467,S876,3,5068,0.097,3.78,http://www.harris-jensen.com/
CAM1007,social,popup,2025-03-09 20:27:34,cpm,google,utm_962,converted,1,41.0,CR554,S742,2,7415,0.156,4.71,https://davis.com/
CAM1004,display,text,2025-03-24 11:57:28,cpc,mailchimp,utm_724,seen,0,,CR223,S658,3,7955,0.015,4.04,https://www.lowery.com/
CAM1005,email,banner,2025-03-01 07:22:58,cpm,linkedin,utm_793,seen,0,,CR953,S829,1,3242,0.08,1.25,http://riley-greene.biz/
CAM1002,search,popup,2025-04-13 07:38:25,cpv,mailchimp,utm_356,seen,0,,CR978,S845,1,4079,0.164,0.17,http://www.boone.info/
CAM1002,email,text,2025-04-12 23:09:50,cpc,google,utm_411,seen,0,,CR345,S323,4,9988,0.157,0.71,http://christensen.com/
CAM1000,search,banner,2025-05-25 14:45:27,cpv,google,utm_256,clicked,0,,CR744,S993,3,4873,0.13,4.44,https://peterson.biz/
CAM1005,email,video,2025-05-21 09:11:30,cpm,mailchimp,utm_751,seen,0,,CR705,S584,3,6821,0.103,2.9,https://www.thomas-jones.biz/
CAM1005,email,banner,2025-03-17 08:21:27,cpv,mailchimp,utm_215,converted,1,32.0,CR403,S112,2,3764,0.024,1.32,https://www.edwards.com/
CAM1000,social,popup,2025-03-25 03:39:57,cpc,linkedin,utm_607,converted,1,13.0,CR611,S391,2,7281,0.068,1.82,https://www.burke-harrison.com/
CAM1001,display,text,2025-05-06 15:38:33,cpv,mailchimp,utm_378,converted,1,26.0,CR640,S500,5,9492,0.084,4.37,http://www.marquez-johnson.org/
CAM1001,search,popup,2025-04-03 12:20:14,cpc,mailchimp,utm_635,clicked,0,,CR880,S646,1,8929,0.118,4.93,https://henry.info/
CAM1007,display,text,2025-05-28 06:33:42,cpv,mailchimp,utm_213,converted,1,22.0,CR463,S803,5,1702,0.052,3.42,https://www.scott-perez.com/
CAM1000,display,video,2025-05-28 12:10:43,cpm,linkedin,utm_308,seen,0,,CR538,S652,3,6850,0.162,1.27,https://jackson.net/
CAM1002,search,popup,2025-04-28 04:00:58,cpm,mailchimp,utm_179,seen,0,,CR741,S842,3,3115,0.021,2.97,http://www.diaz-hodges.com/
CAM1000,display,popup,2025-05-08 15:40:22,cpc,google,utm_220,converted,1,6.0,CR596,S534,1,7544,0.178,4.35,http://www.dominguez.com/
CAM1003,search,video,2025-04-13 23:48:05,cpv,google,utm_197,seen,0,,CR515,S523,1,8679,0.047,2.16,http://garrison.com/
CAM1005,search,text,2025-03-23 05:48:55,cpm,mailchimp,utm_921,clicked,0,,CR542,S569,2,3960,0.059,0.63,https://meyer.com/
CAM1004,email,video,2025-04-30 06:54:21,cpv,mailchimp,utm_324,seen,0,,CR866,S452,5,5029,0.15,2.78,http://www.kelley-mcmahon.com/
CAM1007,search,video,2025-03-23 22:29:28,cpv,facebook,utm_561,clicked,0,,CR937,S215,2,7105,0.085,0.9,http://www.marquez.com/
CAM1002,display,video,2025-04-21 20:12:05,cpm,mailchimp,utm_790,clicked,0,,CR583,S541,1,6841,0.082,4.49,http://hodges.com/
CAM1005,email,text,2025-03-24 20:23:52,cpm,mailchimp,utm_538,clicked,0,,CR258,S897,2,7535,0.079,3.93,http://miranda.com/
CAM1004,search,text,2025-04-18 15:12:43,cpv,mailchimp,utm_668,converted,1,30.0,CR373,S188,2,5464,0.071,3.77,http://jackson.com/
CAM1001,display,text,2025-05-22 04:34:28,cpv,mailchimp,utm_317,seen,0,,CR103,S277,2,4680,0.114,4.83,http://www.flowers.com/
CAM1007,social,banner,2025-04-14 04:05:48,cpc,mailchimp,utm_704,clicked,0,,CR420,S393,5,3770,0.06,0.44,http://www.wright.com/
CAM1000,social,banner,2025-04-06 15:27:51,cpv,mailchimp,utm_905,clicked,0,,CR503,S702,5,9176,0.027,0.22,http://www.murray-lindsey.biz/
CAM1006,search,banner,2025-04-23 10:19:43,cpc,facebook,utm_335,converted,1,32.0,CR533,S959,4,4122,0.129,0.84,https://harding.biz/
CAM1007,social,popup,2025-05-12 23:25:40,cpv,mailchimp,utm_502,seen,0,,CR639,S141,1,6776,0.194,4.9,https://gordon.com/
CAM1001,email,text,2025-05-18 03:24:36,cpm,facebook,utm_316,converted,1,39.0,CR368,S396,5,2071,0.139,1.03,http://www.greene.com/
CAM1002,social,popup,2025-03-12 05:13:07,cpm,linkedin,utm_945,converted,1,34.0,CR151,S781,2,5232,0.106,3.2,https://evans-johnson.info/
CAM1002,display,banner,2025-03-20 07:00:40,cpv,google,utm_584,seen,0,,CR552,S150,4,3891,0.1,4.49,http://www.hampton-christensen.info/
CAM1003,search,popup,2025-05-24 00:03:19,cpv,mailchimp,utm_493,seen,0,,CR552,S537,1,4736,0.013,2.7,http://sanchez-smith.com/
CAM1005,display,banner,2025-05-27 17:41:20,cpv,mailchimp,utm_623,seen,0,,CR409,S450,5,2929,0.132,4.51,https://ross-marquez.com/
CAM1002,search,banner,2025-05-25 16:06:08,cpv,mailchimp,utm_611,seen,0,,CR875,S133,2,2588,0.125,3.1,http://perry.com/
CAM1000,social,popup,2025-03-15 03:07:36,cpc,linkedin,utm_335,seen,0,,CR986,S732,1,4157,0.146,2.65,http://brown-marshall.biz/
CAM1006,display,popup,2025-05-26 02:58:05,cpm,facebook,utm_896,seen,0,,CR870,S950,2,2804,0.114,4.51,https://www.carter.com/
CAM1003,social,text,2025-05-30 16:19:28,cpc,linkedin,utm_835,clicked,0,,CR403,S920,5,4557,0.027,1.58,https://www.rivera-collins.net/
CAM1004,email,banner,2025-03-17 02:40:50,cpc,linkedin,utm_266,seen,0,,CR356,S375,1,7431,0.016,0.41,http://www.garner.com/
CAM1005,social,banner,2025-03-06 19:32:48,cpm,linkedin,utm_285,clicked,0,,CR475,S220,3,4746,0.098,3.01,http://www.meyer.org/
CAM1004,email,popup,2025-04-14 16:33:20,cpc,linkedin,utm_576,converted,1,40.0,CR352,S425,3,7451,0.195,2.42,https://richardson-solis.org/
CAM1005,display,video,2025-03-12 23:18:16,cpc,mailchimp,utm_298,seen,0,,CR112,S890,3,4453,0.016,3.19,https://gallagher-johnson.net/
CAM1007,display,popup,2025-05-10 17:54:40,cpv,facebook,utm_354,seen,0,,CR383,S400,3,3889,0.032,0.82,http://www.rivera-klein.com/
CAM1003,social,popup,2025-03-14 23:25:52,cpc,mailchimp,utm_141,converted,1,33.0,CR402,S668,4,6897,0.139,2.29,http://www.jensen.biz/
CAM1005,social,popup,2025-03-22 09:11:26,cpv,google,utm_679,converted,1,17.0,CR439,S764,4,7815,0.184,3.03,http://www.smith-anderson.biz/
CAM1001,search,popup,2025-04-25 06:33:11,cpv,google,utm_767,clicked,0,,CR638,S641,4,4407,0.099,3.44,http://simmons.com/
CAM1006,social,video,2025-05-28 22:36:02,cpv,google,utm_191,clicked,0,,CR421,S298,5,2338,0.07,2.36,http://www.martin.com/
CAM1003,social,banner,2025-05-10 14:35:13,cpc,linkedin,utm_479,converted,1,46.0,CR430,S783,5,1069,0.067,3.96,https://www.mcdonald.info/
CAM1001,search,video,2025-03-12 02:11:29,cpv,google,utm_417,seen,0,,CR177,S813,5,1688,0.128,1.61,http://jensen-krause.info/
CAM1005,search,banner,2025-03-26 01:22:40,cpv,facebook,utm_377,converted,1,18.0,CR221,S942,4,9463,0.147,3.67,https://moore.net/
CAM1005,social,text,2025-05-06 06:34:35,cpc,mailchimp,utm_997,clicked,0,,CR902,S830,1,8165,0.146,3.18,https://www.briggs.info/
CAM1003,email,banner,2025-03-27 10:14:42,cpm,linkedin,utm_300,clicked,0,,CR154,S961,1,2647,0.099,1.24,https://kaufman-esparza.com/
CAM1004,display,text,2025-04-27 10:44:39,cpc,linkedin,utm_896,converted,1,32.0,CR606,S489,2,7415,0.051,3.67,https://holloway.com/
CAM1002,search,text,2025-05-21 23:48:00,cpv,facebook,utm_474,converted,1,48.0,CR840,S575,3,4433,0.05,3.75,http://www.stein-howe.net/
CAM1003,email,text,2025-04-19 02:42:04,cpv,linkedin,utm_540,seen,0,,CR188,S914,1,1225,0.05,0.95,https://ross.com/
CAM1006,display,text,2025-03-16 18:31:31,cpv,google,utm_366,clicked,0,,CR288,S845,4,8581,0.098,2.74,https://www.howe-brown.biz/
CAM1005,social,video,2025-05-19 03:13:45,cpm,google,utm_444,clicked,0,,CR506,S389,5,4001,0.027,0.78,https://www.kennedy-johnson.com/
CAM1004,email,text,2025-03-12 11:29:14,cpm,mailchimp,utm_871,clicked,0,,CR964,S395,4,3656,0.107,2.89,https://www.koch-vasquez.biz/
CAM1005,email,banner,2025-04-27 03:07:31,cpv,linkedin,utm_222,seen,0,,CR622,S265,2,7682,0.14,3.62,http://atkinson-mitchell.org/
CAM1005,search,banner,2025-05-18 02:41:22,cpc,google,utm_437,seen,0,,CR884,S624,2,3109,0.031,4.0,http://harper.biz/
CAM1004,social,popup,2025-05-22 20:05:48,cpv,facebook,utm_150,converted,1,29.0,CR904,S811,2,9037,0.187,4.75,http://www.miller.com/
CAM1005,display,text,2025-03-15 13:37:59,cpc,facebook,utm_865,seen,0,,CR876,S622,2,3563,0.051,4.54,https://michael.com/
CAM1005,social,banner,2025-03-05 23:40:20,cpv,facebook,utm_395,clicked,0,,CR245,S437,3,4804,0.092,4.37,http://johnson.com/
CAM1000,display,video,2025-05-05 21:34:41,cpm,facebook,utm_284,clicked,0,,CR715,S822,5,1551,0.09,1.35,https://www.martin.com/
CAM1007,display,text,2025-03-10 16:57:00,cpm,linkedin,utm_678,converted,1,18.0,CR611,S767,4,3012,0.162,2.46,http://www.mendez.com/
CAM1001,social,video,2025-05-27 02:17:32,cpc,mailchimp,utm_831,seen,0,,CR887,S313,5,6598,0.022,0.45,https://adams.org/
CAM1006,display,video,2025-05-21 06:00:05,cpv,mailchimp,utm_157,clicked,0,,CR195,S594,4,6553,0.046,3.18,http://brown.com/
CAM1005,display,banner,2025-03-16 06:45:16,cpc,facebook,utm_925,clicked,0,,CR363,S593,4,3116,0.133,0.63,http://walker.com/
CAM1004,social,popup,2025-05-04 13:34:56,cpv,mailchimp,utm_591,clicked,0,,CR404,S843,4,6590,0.043,1.48,http://howard-hicks.com/
CAM1007,search,text,2025-05-03 10:44:26,cpm,mailchimp,utm_939,clicked,0,,CR544,S572,1,4078,0.108,1.85,https://bauer.com/
CAM1006,search,popup,2025-03-21 10:36:38,cpv,google,utm_186,seen,0,,CR354,S662,3,5714,0.104,0.79,http://warner.com/
